,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
1024,1024,7,2,3,0.079,2,2016,3,0,2,2,1,22.21,27.75,3.49,26.75,13.64,33,115.5,0.0,0,1,1
1025,1025,7,2,2,0.079,2,2017,4,0,2,2,2,16.5,20.41,4.8,18.2,21.76,33,115.5,0.0,0,1,1
1026,1026,13,2,1,0.093,2,2016,7,0,2,1,2,21.0,26.12,0.52,14.73,13.5,7,24.5,0.0,1,2,0
1027,1027,7,2,3,0.079,2,2017,1,0,2,2,1,18.09,31.83,3.14,26.05,12.98,33,115.5,0.0,0,1,1
1028,1028,13,4,1,0.086,2,2016,4,0,2,1,2,15.37,35.915,-0.03,13.92,12.05,7,24.5,1.0,0,2,0
1029,1029,13,2,2,0.093,2,2016,7,0,3,2,2,12.0,40.0,4.82,25.77,14.86,7,24.5,0.0,1,1,0
1030,1030,13,4,1,0.086,2,2017,3,0,2,1,1,32.0,34.425,-0.21,10.49,10.73,7,24.5,0.0,1,2,0
1031,1031,14,1,2,0.06,1,2017,3,0,2,2,1,12.0,28.85,4.42,18.47,23.18,7,24.5,0.0,1,1,0
1032,1032,14,1,3,0.06,1,2017,2,0,3,2,2,29.0,11.67,2.35,27.88,8.31,7,24.5,0.0,1,1,0
1033,1033,14,3,4,0.053,1,2016,4,0,2,1,2,32.0,29.32,0.44,5.3,5.41,7,24.5,0.0,1,2,0
1034,1034,7,4,3,0.08,2,2016,6,0,2,2,1,20.81,46.97,3.8,26.87,14.65,33,115.5,0.0,0,1,1
1035,1035,14,1,3,0.06,1,2017,5,1,1,2,3,17.0,14.71,3.35,20.12,18.52,7,24.5,0.0,1,1,0
1036,1036,14,1,2,0.06,1,2016,2,0,2,2,2,20.0,17.39,4.71,24.36,15.99,7,24.5,0.0,1,1,0
1037,1037,14,3,2,0.053,1,2016,4,0,2,2,2,32.0,62.5,4.69,19.2,21.57,7,24.5,0.0,1,1,0
1038,1038,14,3,2,0.053,1,2017,2,0,2,2,2,17.0,29.79,4.72,19.1,21.84,7,24.5,0.0,1,1,0
1039,1039,7,4,2,0.08,2,2017,3,0,2,2,1,15.95,20.2,4.48,17.42,23.36,33,115.5,0.0,0,1,1
1040,1040,7,2,3,0.079,2,2017,7,0,2,2,2,21.06,23.63,3.76,23.34,16.57,33,115.5,0.0,0,1,1
1041,1041,7,2,3,0.079,2,2017,5,1,1,2,3,6.64,9.1,3.16,25.0,13.1,17,59.5,1.0,0,1,0
